b'id',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'10562651',b'TheDutchMan13',b'1330847',b'8',b'49385449',b'2017-06-09T04:45:14Z'
b'10562659',b'TheDutchMan13',b'1330847',b'4',b'49385449',b'2017-06-09T04:45:14Z'
b'10562660',b'TheDutchMan13',b'1330847',b'4',b'49385449',b'2017-06-09T04:45:14Z'
b'10562663',b'TheDutchMan13',b'1330847',b'4',b'49385449',b'2017-06-09T04:45:15Z'
b'10562681',b'TheDutchMan13',b'1330847',b'8',b'49385449',b'2017-06-09T04:45:15Z'
b'10562772',b'chadbunn',b'1058653',b'3',b'28802758',b'2015-02-12T19:01:21Z'
b'10562803',b'TheDutchMan13',b'1330847',b'4',b'49385449',b'2017-06-09T04:45:19Z'
b'10562833',b'TheDutchMan13',b'1330847',b'4',b'49385449',b'2017-06-09T04:45:20Z'
b'10562907',b'TheDutchMan13',b'1330847',b'5',b'49385449',b'2017-06-09T04:45:24Z'
b'10562933',b'TheDutchMan13',b'1330847',b'7',b'49385449',b'2017-06-09T04:45:26Z'
b'10562937',b'TheDutchMan13',b'1330847',b'5',b'49385449',b'2017-06-09T04:45:26Z'
b'10562942',b'TheDutchMan13',b'1330847',b'4',b'49385449',b'2017-06-09T04:45:27Z'
b'10562943',b'Dani_770',b'3039968',b'5',b'32967625',b'2015-07-29T23:17:48Z'
b'10562961',b'TheDutchMan13',b'1330847',b'5',b'49385449',b'2017-06-09T04:45:27Z'
b'10562978',b'TheDutchMan13',b'1330847',b'4',b'49385449',b'2017-06-09T04:45:29Z'
b'10563017',b'TheDutchMan13',b'1330847',b'3',b'49385449',b'2017-06-09T04:45:30Z'
b'10563113',b'TheDutchMan13',b'1330847',b'5',b'49385449',b'2017-06-09T04:45:31Z'
b'10563138',b'TheDutchMan13',b'1330847',b'6',b'49385449',b'2017-06-09T04:45:32Z'
b'10563166',b'TheDutchMan13',b'1330847',b'4',b'49385449',b'2017-06-09T04:45:33Z'
b'10563167',b'TheDutchMan13',b'1330847',b'5',b'49385449',b'2017-06-09T04:45:33Z'
